VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83070115  1.683E+01  1.690E+01  4.256E+00  1.637E+00  1.626E-01  2.004E-02 -9.999E+99  1.679E+00  2.735E-01  2.004E-02  1.357E+08  5.381E+07 -3.256E+06
83070119  1.687E+01  1.690E+01  4.256E+00  1.706E+00  1.514E-01  3.006E-02 -9.999E+99  1.738E+00  2.636E-01  2.004E-02  1.355E+08  5.417E+07 -3.276E+06
83070123  1.687E+01 -9.999E+99  4.355E+00  1.746E+00  1.514E-01  3.006E-02 -9.999E+99  1.626E+00  2.636E-01  2.004E-02  1.353E+08  5.454E+07 -3.296E+06
83070203  1.690E+01  1.694E+01  4.519E+00  1.858E+00  1.923E-01  3.006E-02 -9.999E+99  1.706E+00  2.636E-01  3.006E-02  1.351E+08  5.490E+07 -3.316E+06
83070207  1.694E+01  1.698E+01  4.325E+00  1.607E+00  1.726E-01  2.004E-02 -9.999E+99  1.726E+00  2.636E-01  2.004E-02  1.349E+08  5.526E+07 -3.336E+06
83070211  1.698E+01  1.694E+01  4.111E+00  1.514E+00  1.626E-01  2.004E-02 -9.999E+99  1.746E+00  2.523E-01  3.006E-02  1.347E+08  5.562E+07 -3.356E+06
83070215  1.694E+01  1.702E+01  4.150E+00  1.626E+00  1.514E-01  2.004E-02 -9.999E+99  1.644E+00  2.636E-01  3.006E-02  1.345E+08  5.598E+07 -3.376E+06
83070219  1.698E+01  1.706E+01  4.121E+00  1.607E+00  1.514E-01  3.006E-02 -9.999E+99  1.466E+00  2.523E-01  3.006E-02  1.343E+08  5.634E+07 -3.396E+06
83070223  1.694E+01  1.706E+01  3.963E+00  1.476E+00  1.413E-01  3.006E-02 -9.999E+99  1.324E+00  2.323E-01  3.006E-02  1.341E+08  5.670E+07 -3.415E+06
83070303  1.706E+01  1.710E+01  4.009E+00  1.426E+00  1.726E-01  3.006E-02 -9.999E+99  1.262E+00  2.427E-01  2.004E-02  1.339E+08  5.706E+07 -3.435E+06
83070307  1.710E+01  1.710E+01  3.819E+00  1.294E+00  1.514E-01  4.009E-02 -9.999E+99  1.274E+00  2.223E-01  3.006E-02  1.337E+08  5.741E+07 -3.455E+06
83070323  1.726E+01  1.722E+01  4.236E+00  1.656E+00  1.626E-01  3.006E-02 -9.999E+99  1.393E+00  2.523E-01  3.006E-02  1.329E+08  5.885E+07 -3.534E+06
83070403  1.730E+01  1.730E+01  3.936E+00  1.343E+00  1.514E-01  4.009E-02 -9.999E+99  1.334E+00  2.636E-01  3.006E-02  1.327E+08  5.920E+07 -3.554E+06
